RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	-2651585	-3660116	65.83728	-17.470975	65:50:14N	17:28:16W	28WCU8716003993	NQ27-11	S	FRM		IC	40				N				RAUDHASKRIDHA	Rauðaskriða	Raudhaskridha	RAUDHASKRIDHA	Rauðaskriða	Raudhaskridha		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647478	-3655579	65.86629	-17.517671	65:51:59N	17:31:04W	28WCU8515807310	NQ27-11	S	FRM		IC	40				N				HUSABAKKI	Húsabakki	Husabakki	HUSABAKKI	Húsabakki	Husabakki		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647318	-3655403	65.710659	-17.901394	65:42:38N	17:54:05W	28WCT6686390733	NQ27-11	S	FRM		IC	40				N				HROARSSTADHIR	Hróarsstaðir	Hroarsstadhir	HROARSSTADHIR	Hróarsstaðir	Hroarsstadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647302	-3655385	65.75438	-17.918016	65:45:16N	17:55:05W	28WCT6632795638	NQ27-11	S	FRM		IC	40				N				HRISGERDHI	Hrísgerði	Hrisgerdhi	HRISGERDHI	Hrísgerði	Hrisgerdhi		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647277	-3655359	65.979457	-18.237398	65:58:46N	18:14:15W	27WXP2545320384	NQ27-11	S	FRM		IC	40				N				HRINGSDALUR	Hringsdalur	Hringsdalur	HRINGSDALUR	Hringsdalur	Hringsdalur		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647269	-3655349	65.706484	-17.550097	65:42:23N	17:33:00W	28WCT8295789569	NQ27-11	S	FRM		IC	40				N				HRIFLA	Hrifla	Hrifla	HRIFLA	Hrifla	Hrifla		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2643572	-3651282	65.484893	-17.278387	65:29:06N	17:16:42W	28WCT9452964405	NQ27-11	S	FRM		IC	40				N				ENGIDALUR	Engidalur	Engidalur	ENGIDALUR	Engidalur	Engidalur		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2643458	-3651153	65.628691	-17.513088	65:37:43N	17:30:47W	28WCT8430880836	NQ27-11	S	FRM		IC	40				N				EINBUI	Einbúi	Einbui	EINBUI	Einbúi	Einbui		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2643452	-3651147	65.951902	-17.305042	65:57:07N	17:18:18W	28WCU9520416474	NQ27-11	S	FRM		IC	40				N				EINARSSTADHIR	Einarsstaðir	Einarsstadhir	EINARSSTADHIR	Einarsstaðir	Einarsstadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2651541	-3660070	65.684786	-17.512071	65:41:05N	17:30:43W	28WCT8460587082	NQ27-11	S	FRM		IC	40				N				RAUDHA	Rauðá	Raudha	RAUDHA	Rauðá	Raudha		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2651496	-3660015	65.829026	-17.312444	65:49:44N	17:18:45W	28WCU9436302798	NQ27-11	S	FRM		IC	40				N				PRESTHVAMMUR	Presþvammur	Presthvammur	PRESTHVAMMUR	Presþvammur	Presthvammur		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2651451	-3659947	65.894696	-18.038873	65:53:41N	18:02:20W	27WXP3490911356	NQ27-11	S	FRM		IC	40				N				PALSGERDHI	Pálsgerði	Palsgerdhi	PALSGERDHI	Pálsgerði	Palsgerdhi		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2651425	-3659920	65.668012	-17.574572	65:40:05N	17:34:28W	28WCT8165885330	NQ27-11	S	FRM		IC	40				N				OXARA	Öxará	Oxara	OXARA	Öxará	Oxara		2011-02-09	1,2,3,4,5	1			1993-09-01		
